ID,Label,year_established,node_type,year_small,year_obsolete,year_smaller,Timestamp
1,Ceres,1989,Investor/Industry Group,,2023,,"[1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
2,UNEP FI,1992,Governing Body,,2023,,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
3,CDP,2000,Disclosure Framework,,2023,,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
4,UN Principles for Responsible Investment,2006,Central Commitment,,2023,,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
5,UN Principles for Sustainable Insurance,2012,Central Commitment,,2023,,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
6,Portfolio Decarbonization Coalition,2014,Dormant Project,,2023,,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
7,Montreal Carbon Pledge,2014,Climate Commitment,,2023,,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
8,Paris Agreement,2015,Milestone,,2023,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
9,Partnership for Carbon Accounting Financials,2015,Central Commitment,,2023,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
10,Climate Action in Financial Institutions Initiative,2015,Investor/Industry Group,,2023,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
11,Science Based Targets initiative,2015,,,2023,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
12,Taskforce on Climate-related Financial Disclosures,2015,Disclosure Framework,,2023,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
13,Asia Investor Group on Climate Change,2016,Investor/Industry Group,,2023,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]"
14,Climate Action 100+,2017,Central Commitment,,2023,,"[2017, 2018, 2019, 2020, 2021, 2022]"
15,Paris Agreement Capital Transition Assessment,2018,,,2023,,"[2018, 2019, 2020, 2021, 2022]"
16,Paris Aligned Investment Initiative,2019,Climate Commitment,,2023,,"[2019, 2020, 2021, 2022]"
17,Net Zero Asset Owner Alliance,2019,Climate Commitment,,2023,,"[2019, 2020, 2021, 2022]"
18,UN Principles for Responsible Banking,2019,Central Commitment,,2023,,"[2019, 2020, 2021, 2022]"
19,Partnership for Biodiversity Accounting Financials,2019,,,2023,,"[2019, 2020, 2021, 2022]"
20,Collective Commitment to Climate Action,2019,Climate Commitment,,2023,,"[2019, 2020, 2021, 2022]"
21,Climate Ambition Alliance,2020,Central Commitment,,2023,,"[2020, 2021, 2022]"
22,The Investor Agenda,2020,Central Commitment,,2023,,"[2020, 2021, 2022]"
23,Race to Zero,2020,Central Commitment,,2023,,"[2020, 2021, 2022]"
24,Net Zero Asset Managers Initiative,2020,Climate Commitment,,2023,,"[2020, 2021, 2022]"
25,Glasgow Financial Alliance for Net Zero (GFANZ),2021,Central Commitment,,2023,,"[2021, 2022]"
26,Net Zero Banking Alliance,2021,Climate Commitment,,2023,,"[2021, 2022]"
27,Net Zero Insurance Alliance,2021,Climate Commitment,,2023,,"[2021, 2022]"
28,Net Zero Financial Service Providers Alliance,2021,Climate Commitment,,2023,,"[2021, 2022]"
29,Net Zero Investment Consultants Initiative,2021,Climate Commitment,,2023,,"[2021, 2022]"
30,Just Transition Initiative,2022,Climate Commitment,,2023,,[2022]
31,Investor Group on Climate Change,2005,Investor/Industry Group,,2023,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
32,Institutional Investor Group on Climate Change,2012,Investor/Industry Group,,2023,,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
33,UN Climate Change Conference - COP24,2018,Milestone,,2023,,"[2018, 2019, 2020, 2021, 2022]"
34,Katowice Commitment,2018,Climate Commitment,,2023,,"[2018, 2019, 2020, 2021, 2022]"
35,UN Climate Change Conference - COP21,2015,Milestone,,2023,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
36,Climate Neutral Now Initiative,2015,Climate Commitment,,2023,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
37,Paris Pledge for Action,2015,Climate Commitment,,2023,,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
38,Investor Network on Climate Risk,1993,,,2023,,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
39,UN Climate Change Conference - COP15,2010,Milestone,,2023,,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
40,Green Climate Fund Private Sector Facility,2010,,,2023,,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
